ID_TA,Number of Reviews
d904707,2.0
d7246537,nan
d1884058,3491.0
d3709334,17.0
d986276,604.0
d8677313,49.0
d2225278,8.0
d5614471,6.0
d3454924,197.0
d6697515,37.0
d787024,17.0
d9863670,34.0
d10333393,2.0
d12175079,nan
d10106305,5.0
d3661709,122.0
d4227711,129.0
d7792070,16.0
d4600862,50.0
d5264429,1613.0
d12410110,39.0
d4173077,nan
d12242986,2.0
d2614607,9.0
d4768479,34.0
d5928128,20.0
d697036,2428.0
d2021717,384.0
d10109314,3.0
d1038938,5.0
d4953429,15.0
d697571,2186.0
d8524256,31.0
d7724601,nan
d1093016,113.0
d8774881,105.0
d1082420,61.0
d12875617,nan
d2390091,121.0
d1926325,39.0
d990817,3.0
d7097337,56.0
d5795578,16.0
d11842481,3.0
d12172734,nan
d11906544,1078.0
d2216928,1322.0
d11543758,nan
d3400459,206.0
d12557535,47.0
d783281,441.0
d4323006,141.0
d10026779,9.0
d6513977,62.0
d1224146,372.0
d6494498,64.0
d12563331,11.0
d8401819,8.0
d1029286,1084.0
d718744,44.0
d1081584,74.0
d3735823,nan
d4560491,29.0
d4799949,5.0
d11445075,3.0
d1336101,9.0
d12322989,nan
d13150829,11.0
d8008981,32.0
d12921595,4.0
d1904460,83.0
d779167,143.0
d4909559,75.0
d2437956,157.0
d1081959,95.0
d4410180,754.0
d1100325,567.0
d8090662,11.0
d3431140,113.0
d4818393,106.0
d697252,9.0
d1873223,77.0
d12947166,16.0
d4083721,41.0
d10389470,22.0
d2486144,186.0
d2267111,110.0
d10734451,3.0
d13171584,7.0
d3134650,1237.0
d10737035,18.0
d3613533,162.0
d2648160,732.0
d10122352,7.0
d3785147,3.0
d7687905,191.0
d718937,177.0
d3192062,307.0
d12320220,25.0
d4768291,nan
d5425608,18.0
d8517072,7.0
d5509232,10.0
d2084827,750.0
d10587448,nan
d8811850,33.0
d12873448,nan
d6727449,31.0
d10179197,6.0
d7311463,3.0
d12611007,25.0
d7047167,16.0
d2091250,185.0
d1037163,5.0
d1182786,1079.0
d5220257,19.0
d11962971,26.0
d7690496,12.0
d12906918,5.0
d9765679,59.0
d4924798,4.0
d5865687,58.0
d7905491,97.0
d719237,907.0
d5942142,19.0
d1137212,1332.0
d1020592,52.0
d9781450,7.0
d4872826,16.0
d13203526,6.0
d5122174,11.0
d813958,71.0
d7247750,110.0
d7312499,48.0
d7644937,3.0
d10028124,14.0
d2719603,95.0
d1013794,64.0
d10784649,18.0
d2620190,132.0
d10040334,30.0
d8419110,381.0
d12685574,3.0
d9603011,89.0
d1852620,825.0
d11679759,24.0
d12112547,2.0
d3805143,6.0
d3610708,26.0
d6882587,11.0
d5962368,5.0
d4424572,60.0
d3898172,97.0
d9739262,33.0
d2637154,78.0
d3622799,35.0
d12947099,49.0
d1971797,3.0
d6981542,85.0
d10701333,47.0
d7624770,23.0
d2271370,34.0
d10047471,32.0
d10266436,66.0
d4770035,15.0
d2044612,187.0
d10271724,13.0
d10169867,418.0
d8284781,20.0
d1039067,2.0
d878520,34.0
d12902522,9.0
d12323685,15.0
d11861153,nan
d7591680,135.0
d1070166,304.0
d2643319,47.0
d12417709,4.0
d813925,184.0
d12206760,4.0
d10769792,21.0
d731204,136.0
d10477806,4.0
d1016160,187.0
d8429273,69.0
d11958431,4.0
d11895495,173.0
d2465469,16.0
d951933,3.0
d2258959,128.0
d1043439,86.0
d7803810,82.0
d3308325,55.0
d1553821,230.0
d7804627,18.0
d1963456,130.0
d5440481,3.0
d4225439,15.0
d7933036,10.0
d10339269,83.0
d2701946,103.0
d8511258,1724.0
d12598682,7.0
d8571233,nan
d1018974,63.0
d10878563,129.0
d10250368,2.0
d11631425,16.0
d850178,1488.0
d5818174,5.0
d3780762,35.0
d12936186,13.0
d9752550,nan
d1186842,1951.0
d4875639,13.0
d12996130,4.0
d952068,154.0
d1095455,287.0
d6813236,3.0
d4418101,175.0
d780204,93.0
d1136782,165.0
d7274833,61.0
d12500357,28.0
d991104,515.0
d4823847,164.0
d5077935,3.0
d802232,393.0
d8362416,13.0
d2712118,24.0
d10818786,nan
d4769349,19.0
d8657804,8.0
d7124393,nan
d12571297,3.0
d5080700,8.0
d1356624,46.0
d7596737,233.0
d9832010,12.0
d3253550,273.0
d11029213,26.0
d1226617,237.0
d6453074,78.0
d8602510,nan
d11947459,12.0
d7920021,39.0
d10398981,20.0
d3685490,17.0
d8804386,5.0
d6663062,8.0
d3181841,306.0
d3538769,9.0
d7283420,12.0
d8627732,8.0
d12900896,41.0
d13087285,8.0
d12536774,28.0
d10744198,64.0
d12099376,53.0
d10478105,8.0
d8277124,69.0
d9729580,5.0
d3675106,145.0
d1887046,24.0
d7211474,23.0
d3529487,37.0
d5812483,2.0
d997616,61.0
d9710368,40.0
d11951673,nan
d2618233,142.0
d12404527,nan
d11978912,35.0
d11931682,5.0
d8810157,3.0
d1153049,43.0
d4580777,637.0
d8076891,472.0
d1025147,288.0
d5308351,4.0
d1099621,24.0
d7160467,nan
d1178760,152.0
d795687,181.0
d13139047,2.0
d8017581,17.0
d3544710,20.0
d1027670,264.0
d4769810,13.0
d3692741,83.0
d11812785,nan
d9602787,4.0
d5533891,275.0
d7850012,10.0
d12709936,3.0
d4473807,231.0
d11958324,8.0
d1526719,106.0
d12571607,16.0
d10076062,5.0
d7599401,7.0
d12564018,55.0
d12407347,19.0
d1871954,834.0
d12971996,8.0
d5081396,3.0
d2489872,46.0
d10698854,44.0
d695264,926.0
d7651862,24.0
d4191913,5.0
d9747453,6.0
d3853544,27.0
d2374918,274.0
d6826426,41.0
d2042134,367.0
d8264568,133.0
d4492506,15.0
d1019955,110.0
d2001507,65.0
d10412920,11.0
d8673833,11.0
d1013511,115.0
d4236147,1774.0
d3654659,28.0
d8505654,25.0
d11799782,2.0
d2175380,89.0
d6369030,187.0
d947018,65.0
d10170180,41.0
d10488130,8.0
d8384800,86.0
d1503730,76.0
d5971427,12.0
d10811036,14.0
d5506292,16.0
d731210,53.0
d12164454,9.0
d7772581,7.0
d7660183,743.0
d5122657,2.0
d3192453,372.0
d4768668,3.0
d3456729,231.0
d10488468,91.0
d6482548,670.0
d5081096,14.0
d1071288,142.0
d5616257,35.0
d12927216,25.0
d10686851,8.0
d8425435,38.0
d790369,277.0
d1079439,15.0
d7189024,5.0
d11871901,nan
d1327141,20.0
d6701548,55.0
d10474731,37.0
d1912599,55.0
d6385547,152.0
d697259,497.0
d8049985,20.0
d8516817,281.0
d990664,174.0
d7208833,403.0
d8339929,11.0
d4324139,120.0
d1019284,169.0
d12495979,32.0
d5583335,nan
d8414125,15.0
d13279636,2.0
d7002116,72.0
d752894,448.0
d5522002,3.0
d5972350,6.0
d7787852,nan
d10784629,3.0
d8276525,21.0
d10201077,5.0
d742407,396.0
d12078773,6.0
d5776307,20.0
d8123141,215.0
d806051,10.0
d4007924,352.0
d9742180,14.0
d8713635,42.0
d7986173,879.0
d719518,7.0
d4919283,39.0
d12452377,3.0
d12277704,9.0
d3859070,404.0
d8737446,144.0
d5519810,30.0
d1172837,307.0
d2263352,615.0
d1929118,129.0
d10859217,22.0
d11793939,6.0
d8808859,26.0
d11929974,93.0
d9769328,88.0
d1674503,181.0
d1746716,243.0
d3738693,170.0
d9740703,10.0
d4091909,22.0
d4811912,822.0
d1898848,419.0
d12384001,45.0
d5518556,15.0
d1139366,90.0
d8463851,13.0
d10467094,nan
d1044726,2.0
d4731719,55.0
d12233546,2.0
d11911250,2.0
d10613140,14.0
d11950716,nan
d11795167,24.0
d10841012,45.0
d2149251,83.0
d805464,104.0
d8596967,2.0
d2516361,91.0
d7147205,4.0
d7966501,2.0
d9710052,44.0
d10146454,18.0
d7347239,52.0
d10041332,3.0
d3153451,118.0
d1048529,128.0
d2439603,377.0
d6620235,4.0
d8853180,2.0
d4212687,111.0
d6988362,537.0
d9456607,35.0
d3499028,613.0
d12414220,2.0
d7595454,5.0
d12447984,4.0
d1112673,313.0
d1926746,905.0
d12147644,2.0
d5264440,15.0
d12842559,3.0
d5667751,11.0
d5825135,73.0
d12883544,nan
d12219822,8.0
d10595133,14.0
d12516525,8.0
d2549710,8.0
d795704,138.0
d7132084,5.0
d11766630,2.0
d6732811,12.0
d1069513,135.0
d9745343,7.0
d5520230,37.0
d13206566,nan
d11885698,11.0
d8654533,49.0
d10301071,7.0
d2703359,167.0
d942290,519.0
d6673365,6.0
d2641947,138.0
d3292870,169.0
d7360304,3.0
d2190085,5.0
d8362902,19.0
d1353540,371.0
d4584798,31.0
d7819194,8.0
d3242247,35.0
d8143898,27.0
d4040052,28.0
d4553147,4.0
d6280580,90.0
d2140541,27.0
d12966435,5.0
d1342155,95.0
d10389421,105.0
d13153300,nan
d7197803,12.0
d7205059,nan
d8656639,8.0
d7310999,166.0
d938657,5.0
d11812573,5.0
d3179219,744.0
d8427291,18.0
d10789401,4.0
d4342126,19.0
d12335302,6.0
d8435433,5.0
d6997989,9.0
d1204136,46.0
d7949496,2.0
d12611723,9.0
d4875736,27.0
d1125210,38.0
d10663723,17.0
d5262205,7.0
d10934512,30.0
d13152856,nan
d5986180,9.0
d3365091,111.0
d2429057,18.0
d3681402,302.0
d4768018,12.0
d10901576,742.0
d10207856,60.0
d784495,117.0
d13138415,52.0
d6224819,nan
d2199010,843.0
d5511542,2.0
d10524857,nan
d6937518,63.0
d5478128,91.0
d5062863,66.0
d10676665,143.0
d11927391,23.0
d7274076,nan
d3367014,nan
d8757118,88.0
d7963942,641.0
d10479056,nan
d7939547,9.0
d12033913,19.0
d2177437,351.0
d8262699,182.0
d5884421,4.0
d6452357,136.0
d8552830,31.0
d11783344,2.0
d1382840,29.0
d8108982,161.0
d8788057,13.0
d2402689,321.0
d10444782,16.0
d5981133,18.0
d12061819,5.0
d3508464,298.0
d3389805,30.0
d12691511,nan
d5862958,nan
d12395922,nan
d13075151,2.0
d1905070,8.0
d8695123,8.0
d2283070,3.0
d8397457,5.0
d1082219,40.0
d12393437,3.0
d1342721,39.0
d10260499,30.0
d720152,157.0
d720006,43.0
d10041649,12.0
d10275783,21.0
d7208879,23.0
d2018218,903.0
d12111198,147.0
d11734174,41.0
d807268,472.0
d3494454,18.0
d6652756,2.0
d10278436,9.0
d7045726,nan
d8365233,25.0
d9750236,17.0
d2170318,178.0
d1657770,314.0
d9788399,11.0
d4756337,108.0
d13112281,2.0
d13125687,nan
d4007733,534.0
d11945680,2.0
d5617497,nan
d3135457,62.0
d718634,120.0
d1449945,106.0
d7112860,118.0
d3575893,49.0
d914774,96.0
d12631429,18.0
d3709146,232.0
d8338380,15.0
d11737173,3.0
d6350630,55.0
d13284579,nan
d4275405,86.0
d4174123,316.0
d12307808,33.0
d1729490,1038.0
d1389553,48.0
d3773938,167.0
d11721981,2.0
d5964622,19.0
d2146131,32.0
d2688423,94.0
d8778176,7.0
d2238224,29.0
d3479783,47.0
d12535679,3.0
d1331723,139.0
d12789180,2.0
d2690863,5.0
d5850350,25.0
d12511114,14.0
d12911571,nan
d11797517,24.0
d10254564,6.0
d3187800,386.0
d4092003,458.0
d4569319,45.0
d5981992,nan
d5821329,25.0
d12516783,13.0
d12408013,nan
d8467764,11.0
d731411,103.0
d804602,9.0
d5962416,25.0
d9798152,3.0
d10052253,12.0
d12950509,2.0
d1514036,540.0
d3653353,9.0
d2552476,1361.0
d8765040,19.0
d8570479,7.0
d13239000,nan
d8861717,10.0
d13003137,2.0
d8004867,57.0
d10467958,2.0
d1180249,60.0
d2238474,715.0
d802947,789.0
d4470803,10.0
d11809877,14.0
d809299,55.0
d7332627,13.0
d7231235,20.0
d13504772,4.0
d12567561,nan
d8462263,8.0
d1319525,19.0
d6849188,295.0
d1777182,798.0
d1411212,23.0
d10299360,137.0
d1039229,100.0
d4149419,54.0
d991586,170.0
d7617910,31.0
d3247867,130.0
d10244877,9.0
d3723772,41.0
d4768930,2.0
d4507301,9.0
d4923344,4.0
d3729312,35.0
d4611482,408.0
d4462793,28.0
d789932,565.0
d790161,430.0
d8482195,11.0
d7158449,215.0
d1111164,3.0
d1067897,532.0
d3541570,54.0
d4444335,52.0
d3384860,7.0
d3747466,407.0
d3735285,23.0
d4919421,4.0
d694876,166.0
d10149157,74.0
d8264534,554.0
d951745,8.0
d4006807,17.0
d10470230,27.0
d10553180,2.0
d1391950,78.0
d5982177,29.0
d7124407,nan
d1787100,377.0
d3256441,297.0
d10542868,3.0
d9740773,nan
d7708481,105.0
d1187556,104.0
d1422396,112.0
d4411680,346.0
d6090555,24.0
d7899101,7.0
d2478292,187.0
d5798942,8.0
d3982546,36.0
d5440105,3.0
d8601922,19.0
d717321,nan
d4793122,248.0
d5440102,12.0
d5852650,3.0
d8618260,2.0
d694680,34.0
d6716194,6.0
d4002138,16.0
d10980877,3.0
d4507167,45.0
d4090317,12.0
d5994183,15.0
d1996185,424.0
d11876952,10.0
d5773493,29.0
d2417233,147.0
d5499107,35.0
d11785606,31.0
d3916949,52.0
d8871731,nan
d5430321,35.0
d7238265,79.0
d2309129,17.0
d3628077,41.0
d2413488,50.0
d5244283,14.0
d1070813,83.0
d1026816,87.0
d10480652,68.0
d3728238,124.0
d1137835,45.0
d8530236,10.0
d5031047,183.0
d7322354,5.0
d1812781,91.0
d733242,12.0
d12590526,39.0
d1039025,9.0
d5770608,22.0
d997911,83.0
d9791357,7.0
d6871035,166.0
d2010970,11.0
d5826175,26.0
d1035291,103.0
d717849,298.0
d8001077,9.0
d2140783,166.0
d12025919,4.0
d11904581,14.0
d887062,22.0
d4326770,102.0
d2507688,2.0
d719464,926.0
d10252067,6.0
d6132607,22.0
d3723423,84.0
d1381899,3.0
d815966,12.0
d12322498,2.0
d1014732,1455.0
d1200078,1008.0
d1190635,58.0
d12430027,4.0
d2501380,112.0
d5981575,12.0
d1925402,54.0
d3702346,348.0
d2227958,379.0
d2001360,131.0
d2640131,15.0
d7681774,13.0
d10735138,24.0
d786848,95.0
d9999347,12.0
d896870,213.0
d8152658,25.0
d10329263,19.0
d7077341,26.0
d4769763,40.0
d10743813,10.0
d6380666,nan
d4777493,18.0
d12862570,9.0
d10486190,nan
d4540734,47.0
d1908433,99.0
d7304447,20.0
d10836428,266.0
d8333964,36.0
d11847890,2.0
d7349508,5.0
d1012032,111.0
d11779495,104.0
d5510425,16.0
d789812,214.0
d1422363,174.0
d720344,66.0
d6213398,482.0
d5499042,48.0
d5432964,3.0
d793247,1415.0
d7082302,199.0
d1408860,20.0
d13149867,7.0
d1072825,35.0
d8393660,15.0
d3998658,25.0
d3687087,63.0
d1017626,59.0
d3378462,55.0
d11909498,5.0
d11444792,16.0
d11964473,25.0
d1043864,17.0
d5430137,34.0
d5439908,197.0
d1636181,66.0
d10308480,12.0
d6491581,90.0
d783817,187.0
d9737054,7.0
d2374260,763.0
d7148300,8.0
d732442,59.0
d12216087,2.0
d12907448,4.0
d800139,147.0
d2361130,1195.0
d7045483,11.0
d4044730,27.0
d7246396,4.0
d991311,171.0
d1019601,74.0
d7384362,291.0
d2642170,5.0
d13133990,nan
d2632049,154.0
d8460533,40.0
d12967102,20.0
d753062,150.0
d7138859,17.0
d6757948,48.0
d3567594,32.0
d12822834,2.0
d7906376,8.0
d12172437,6.0
d4138226,3.0
d8336708,92.0
d11657242,13.0
d1888272,22.0
d12436668,21.0
d997678,162.0
d3200333,24.0
d785342,38.0
d12701361,28.0
d5243284,59.0
d1408975,74.0
d2045335,72.0
d6857652,30.0
d8018836,27.0
d10255965,69.0
d8471958,9.0
d2722259,185.0
d10344105,11.0
d1945827,3.0
d5220236,60.0
d6986251,nan
d812087,543.0
d12170190,5.0
d3751411,162.0
d7617805,6.0
d1074905,51.0
d7246463,8.0
d1496225,103.0
d10357949,136.0
d8831100,6.0
d2617201,42.0
d696914,438.0
d8024783,14.0
d1015281,53.0
d7123548,nan
d4768750,8.0
d11803412,20.0
d12327573,42.0
d788253,126.0
d939738,nan
d2660129,5.0
d8333948,nan
d4781710,269.0
d696572,1218.0
d9465496,9.0
d8130798,28.0
d2035426,598.0
d10529250,nan
d1078160,211.0
d12714039,17.0
d7284551,2.0
d2354970,659.0
d8742355,19.0
d3488960,149.0
d1336470,137.0
d1989577,151.0
d6922185,9.0
d1341719,127.0
d10818692,15.0
d11768556,6.0
d1045087,192.0
d1044850,nan
d2436766,170.0
d5494258,415.0
d4924764,9.0
d2484653,96.0
d11850208,6.0
d9741368,52.0
d11916139,14.0
d11965689,24.0
d7181204,5.0
d5616461,15.0
d2249233,292.0
d2427075,113.0
d12933690,nan
d857892,256.0
d7284929,63.0
d7828081,39.0
d11711074,12.0
d6879032,66.0
d6578586,54.0
d2430932,101.0
d5122077,nan
d8339780,nan
d8756630,18.0
d1841278,453.0
d694824,303.0
d5062755,13.0
d7117748,23.0
d5997013,2.0
d11893467,41.0
d10872699,10.0
d10320753,nan
d2182818,436.0
d10782337,7.0
d11801070,321.0
d12695861,25.0
d4468057,131.0
d2534242,66.0
d8685223,19.0
d4776631,3.0
d6107125,nan
d6704366,59.0
d7284565,57.0
d11444358,10.0
d8741684,6.0
d8043512,74.0
d11865333,38.0
d8297597,12.0
d2008498,130.0
d8113684,20.0
d12135807,nan
d1743501,208.0
d12374303,172.0
d6467718,306.0
d12097619,31.0
d7159614,73.0
d1331947,24.0
d5981386,2.0
d12503006,6.0
d11929450,202.0
d790052,257.0
d3915339,32.0
d3729375,202.0
d8617056,65.0
d7337270,133.0
d811541,154.0
d4769848,nan
d11434812,nan
d12833026,4.0
d8636402,79.0
d12534044,84.0
d8834072,10.0
d10102062,2.0
d2336031,50.0
d5787737,7.0
d954332,192.0
d2045730,68.0
d967395,414.0
d1771569,52.0
d12798690,3.0
d3838865,14.0
d12207700,10.0
d7753684,30.0
d3746008,110.0
d5122407,90.0
d12420840,6.0
d4345739,19.0
d731560,171.0
d8736288,9.0
d1673131,14.0
d7356942,22.0
d719751,83.0
d1819638,4.0
d3684531,52.0
d794535,74.0
d10463389,33.0
d3142934,12.0
d6716177,89.0
d1346077,4.0
d2649839,46.0
d10274660,6.0
d13002781,nan
d11979495,3.0
d11816974,6.0
d734024,92.0
d7931246,2.0
d9885889,87.0
d11884230,13.0
d2540861,164.0
d5954906,29.0
d7171641,39.0
d717241,1393.0
d12028649,19.0
d1044081,63.0
d5944298,3.0
d964370,73.0
d4323946,6.0
d3737996,192.0
d5122869,85.0
d1058185,86.0
d10742398,2.0
d1965935,2988.0
d2711027,382.0
d8115650,50.0
d4028710,187.0
d719123,1106.0
d4749571,54.0
d1116704,110.0
d2410635,172.0
d1521613,1265.0
d10127424,3.0
d1229263,5.0
d10109714,6.0
d4608745,10.0
d1388950,2384.0
d6715484,19.0
d1516734,22.0
d1117926,383.0
d5094094,20.0
d10186841,11.0
d11876926,502.0
d10465022,218.0
d8461747,2.0
d10733400,11.0
d12937099,4.0
d12864876,nan
d6922156,3.0
d12667748,2.0
d5510962,6.0
d10448967,8.0
d4924135,7.0
d9758853,18.0
d7622585,84.0
d718281,709.0
d4521072,7.0
d5959357,4.0
